"No.","Time","Source","Destination","Protocol","Length","Info"
"193","2019-02-26 23:50:52.019551","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"194","2019-02-26 23:50:52.045779","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"195","2019-02-26 23:50:53.621574","192.168.1.4","172.217.160.164","UDP","235","57815  >  443 Len=193"
"196","2019-02-26 23:50:53.700231","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"197","2019-02-26 23:50:53.752433","172.217.160.164","192.168.1.4","UDP","413","443  >  57815 Len=371"
"198","2019-02-26 23:50:53.754233","172.217.160.164","192.168.1.4","UDP","62","443  >  57815 Len=20"
"199","2019-02-26 23:50:53.754234","172.217.160.164","192.168.1.4","UDP","71","443  >  57815 Len=29"
"200","2019-02-26 23:50:53.755647","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"201","2019-02-26 23:50:53.782008","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"202","2019-02-26 23:50:53.936272","192.168.1.4","172.217.160.164","UDP","194","57815  >  443 Len=152"
"203","2019-02-26 23:50:54.002619","172.217.160.164","192.168.1.4","UDP","63","443  >  57815 Len=21"
"204","2019-02-26 23:50:54.108413","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"205","2019-02-26 23:50:54.108417","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"206","2019-02-26 23:50:54.108419","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"207","2019-02-26 23:50:54.108426","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"208","2019-02-26 23:50:54.108428","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"209","2019-02-26 23:50:54.108430","172.217.160.164","192.168.1.4","UDP","229","443  >  57815 Len=187"
"210","2019-02-26 23:50:54.108433","172.217.160.164","192.168.1.4","UDP","92","443  >  57815 Len=50"
"211","2019-02-26 23:50:54.109575","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"212","2019-02-26 23:50:54.110155","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"213","2019-02-26 23:50:54.110580","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"214","2019-02-26 23:50:54.136620","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"215","2019-02-26 23:50:54.282043","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"216","2019-02-26 23:50:54.282675","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"217","2019-02-26 23:50:54.283700","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"218","2019-02-26 23:50:54.284792","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"219","2019-02-26 23:50:54.285131","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"220","2019-02-26 23:50:54.285686","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"221","2019-02-26 23:50:54.286276","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"222","2019-02-26 23:50:54.286701","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"223","2019-02-26 23:50:54.287440","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"224","2019-02-26 23:50:54.289324","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"225","2019-02-26 23:50:54.289782","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"226","2019-02-26 23:50:54.290630","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"227","2019-02-26 23:50:54.291138","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"228","2019-02-26 23:50:54.291141","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"229","2019-02-26 23:50:54.291143","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"230","2019-02-26 23:50:54.291986","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"231","2019-02-26 23:50:54.292423","172.217.160.164","192.168.1.4","UDP","1177","443  >  57815 Len=1135"
"232","2019-02-26 23:50:54.292772","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"233","2019-02-26 23:50:54.400663","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"234","2019-02-26 23:50:54.401490","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"235","2019-02-26 23:50:54.401926","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"236","2019-02-26 23:50:54.402412","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"237","2019-02-26 23:50:54.403748","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"238","2019-02-26 23:50:54.404714","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"239","2019-02-26 23:50:54.405443","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"240","2019-02-26 23:50:54.406444","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"241","2019-02-26 23:50:54.406740","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"242","2019-02-26 23:50:54.407183","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"243","2019-02-26 23:50:54.407644","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"244","2019-02-26 23:50:54.408027","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"245","2019-02-26 23:50:54.408545","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
"246","2019-02-26 23:50:54.408548","172.217.160.164","192.168.1.4","UDP","393","443  >  57815 Len=351"
"247","2019-02-26 23:50:54.409294","192.168.1.4","172.217.160.164","UDP","70","57815  >  443 Len=28"
"248","2019-02-26 23:50:54.899096","172.217.160.164","192.168.1.4","UDP","1392","443  >  57815 Len=1350"
